,budget,popularity,vote_count,top_cast_avg_rating,director_encoded,release_year,release_month,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,title,genres,director,top_cast,release_date,vote_average,revenue,budget_log,revenue_log,profit_ratio
330,79000000,106.914973,7487,6.271936339522531,1614,2002,12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,The Lord of the Rings: The Two Towers,"['Adventure', 'Fantasy', 'Action']",Peter Jackson,['Unknown'],2002-12-18,8.0,926287400,18.184958423089522,20.64669511270673,10.725156962025316
332,115000000,41.498631,2192,6.271936339522531,1904,2001,6,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Lara Croft: Tomb Raider,"['Adventure', 'Fantasy', 'Action', 'Thriller']",Simon West,['Unknown'],2001-06-11,5.7,274703340,18.560442695023177,19.43120231335048,1.388724695652174
333,100000000,58.991388,2295,6.0225757575757575,2125,2014,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,Transcendence,"['Thriller', 'Science Fiction', 'Drama', 'Mystery']",Wally Pfister,"['Johnny Depp', 'Paul Bettany', 'Rebecca Hall']",2014-04-16,5.9,103039258,18.420680753952364,18.45062062891247,0.03039258
336,90000000,21.436682,572,6.413333333333334,1321,2008,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,The Spiderwick Chronicles,"['Adventure', 'Family', 'Fantasy']",Mark Waters,"['Freddie Highmore', 'Mary-Louise Parker', 'Nick Nolte']",2008-02-14,6.3,162839667,18.31532023940565,18.90827664278587,0.8093296333333333
337,92000000,65.402595,3493,5.84,1009,2013,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,A Good Day to Die Hard,"['Action', 'Thriller']",John Moore,"['Bruce Willis', 'Jai Courtney', 'Sebastian Koch']",2013-02-06,5.2,304654182,18.33729914588288,19.534687865074936,2.3114585
340,98000000,7.029308,136,6.271936339522531,1683,1995,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cutthroat Island,"['Action', 'Adventure']",Renny Harlin,['Unknown'],1995-12-22,5.7,10017322,18.400478046838927,16.119826452257225,-0.8977824285714285
341,95000000,61.121717,2010,6.271936339522531,301,2010,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Percy Jackson & the Olympians: The Lightning Thief,"['Adventure', 'Fantasy', 'Family']",Chris Columbus,['Unknown'],2010-02-01,6.0,226497209,18.36938746009113,19.238243184930703,1.3841811473684211
342,90000000,104.121555,4412,6.271936339522531,148,1997,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Men in Black,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",Barry Sonnenfeld,['Unknown'],1997-07-02,6.9,589390539,18.31532023940565,20.1945995779185,5.548783766666666
344,100000000,37.698465,1165,6.271936339522531,2081,2010,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Unstoppable,"['Action', 'Thriller']",Tony Scott,['Unknown'],2010-11-04,6.3,167805466,18.420680753952364,18.93831593191957,0.67805466
345,90000000,35.814765,1054,6.352777777777777,227,2001,8,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Rush Hour 2,"['Action', 'Comedy', 'Crime', 'Thriller']",Brett Ratner,"['Chris Tucker', 'Jackie Chan', 'Zhang Ziyi']",2001-08-03,6.4,347325802,18.31532023940565,19.66577381095219,2.8591755777777776
347,100000000,46.781182,1747,6.271936339522531,1637,2009,9,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Cloudy with a Chance of Meatballs,"['Animation', 'Comedy', 'Family']",Phil Lord,['Unknown'],2009-09-17,6.5,242988466,18.420680753952364,19.30852453927317,1.42988466
348,90000000,69.457898,2271,6.411428571428572,266,2009,6,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Ice Age: Dawn of the Dinosaurs,"['Animation', 'Comedy', 'Family', 'Adventure']",Carlos Saldanha,"['Ray Romano', 'John Leguizamo', 'Denis Leary']",2009-06-29,6.5,886686817,18.31532023940565,20.603002397881323,8.852075744444445
349,90000000,43.348022,3144,6.271936339522531,160,2013,12,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,The Secret Life of Walter Mitty,"['Adventure', 'Comedy', 'Drama', 'Fantasy']",Ben Stiller,['Unknown'],2013-12-18,7.0,188133322,18.31532023940565,19.052661434349236,1.0903702444444445
350,92000000,40.20395,1232,5.674603174603174,1365,2000,11,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Charlie's Angels,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",McG,"['Cameron Diaz', 'Lucy Liu', 'Drew Barrymore']",2000-11-02,5.6,264105545,18.33729914588288,19.391859376668226,1.870712445652174
353,92000000,43.192048,1667,6.271936339522531,160,2008,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tropic Thunder,"['Action', 'Comedy']",Ben Stiller,['Unknown'],2008-08-09,6.5,188072649,18.33729914588288,19.05233888231721,1.0442679239130435
355,90000000,51.881077,2066,6.071111111111112,1006,1995,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Die Hard: With a Vengeance,"['Action', 'Thriller']",John McTiernan,"['Bruce Willis', 'Jeremy Irons', 'Samuel L. Jackson']",1995-05-19,6.9,366101666,18.31532023940565,19.71842163148081,3.067796288888889
356,90000000,57.834787,5766,6.271936339522531,735,2009,12,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Sherlock Holmes,"['Action', 'Adventure', 'Crime', 'Mystery']",Guy Ritchie,['Unknown'],2009-12-23,7.0,524028679,18.31532023940565,20.077056973611956,4.822540877777778
357,100000000,29.608322,621,6.271936339522531,2034,2016,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Ben-Hur,['Drama'],Timur Bekmambetov,['Unknown'],2016-08-17,5.3,94061311,18.420680753952364,18.359457382927378,-0.05938689
359,0,27.867368,428,5.735714285714287,2126,2015,12,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Alvin and the Chipmunks: The Road Chip,"['Adventure', 'Animation', 'Comedy', 'Family']",Walt Becker,"['Jason Lee', 'Justin Long', 'Bella Thorne']",2015-12-17,5.8,233755553,0.0,19.269786486278605,
360,75000000,38.832842,1173,6.838787878787879,255,2008,12,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,Valkyrie,"['Drama', 'Thriller', 'History', 'War']",Bryan Singer,"['Tom Cruise', 'Carice van Houten', 'Kenneth Branagh']",2008-12-25,6.7,200276000,18.132998684833918,19.115206978180538,1.6703466666666666
362,88000000,140.849495,2513,6.271936339522531,301,2015,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Pixels,"['Action', 'Comedy', 'Science Fiction']",Chris Columbus,['Unknown'],2015-07-16,5.6,243637091,18.292847383806116,19.311190348218577,1.768603306818182
364,90000000,16.302378,466,5.44,1735,2003,11,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,The Haunted Mansion,"['Thriller', 'Fantasy', 'Comedy', 'Family', 'Mystery']",Rob Minkoff,"['Eddie Murphy', 'Terence Stamp', 'Nathaniel Parker']",2003-11-25,5.2,182290266,18.31532023940565,19.021110848207137,1.0254474
366,95000000,28.200874,634,6.271936339522531,1585,2000,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Hollow Man,"['Action', 'Science Fiction', 'Thriller']",Paul Verhoeven,['Unknown'],2000-08-04,5.6,190213455,18.36938746009113,19.063657452155688,1.0022468947368421
367,80000000,18.69984,392,6.1380341880341875,1980,2005,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,The Interpreter,"['Crime', 'Thriller']",Sydney Pollack,"['Nicole Kidman', 'Sean Penn', 'Catherine Keener']",2005-04-08,6.2,162944923,18.197537205138154,18.90892281210294,1.0368115375
368,90000000,40.262261,1648,5.8500000000000005,2017,2013,8,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Percy Jackson: Sea of Monsters,"['Adventure', 'Family', 'Fantasy']",Thor Freudenthal,"['Logan Lerman', 'Alexandra Daddario', 'Douglas Smith']",2013-08-07,5.9,174578751,18.31532023940565,18.97788649866075,0.9397639
369,95000000,56.811056,1418,6.344444444444444,857,2003,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Lara Croft Tomb Raider: The Cradle of Life,"['Action', 'Adventure', 'Fantasy', 'Thriller']",Jan de Bont,"['Angelina Jolie', 'Gerard Butler', 'Noah Taylor']",2003-07-21,5.5,156505388,18.36938746009113,18.86860100185642,0.6474251368421052
371,68000000,20.913852,302,6.271936339522531,1644,1997,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,The Saint,"['Thriller', 'Action', 'Romance', 'Science Fiction', 'Adventure']",Phillip Noyce,['Unknown'],1997-04-03,5.9,118063304,18.035018277846262,18.586731521625204,0.7362250588235294
372,92000000,27.166757,579,6.584444444444444,2081,2001,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Spy Game,"['Action', 'Crime', 'Thriller']",Tony Scott,"['Robert Redford', 'Brad Pitt', 'Catherine McCormack']",2001-11-18,6.8,143049560,18.33729914588288,18.778701708598643,0.5548865217391304
373,90000000,16.058284,369,6.271936339522531,232,2000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Mission to Mars,['Science Fiction'],Brian De Palma,['Unknown'],2000-03-10,5.7,60874615,18.31532023940565,17.92432683133892,-0.3236153888888889
374,90000000,46.200042,2166,6.465925925925926,266,2011,4,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Rio,"['Animation', 'Adventure', 'Comedy', 'Family']",Carlos Saldanha,"['Jesse Eisenberg', 'Anne Hathaway', 'Leslie Mann']",2011-04-03,6.5,484635760,18.31532023940565,19.998908158506367,4.384841777777778
375,100000000,24.939295,963,6.271936339522531,301,1999,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Bicentennial Man,"['Comedy', 'Science Fiction']",Chris Columbus,['Unknown'],1999-12-17,6.9,93700000,18.420680753952364,18.355608757881008,-0.063
376,90000000,19.836124,376,5.77,1432,1997,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,Volcano,"['Science Fiction', 'Action', 'Drama', 'Thriller']",Mick Jackson,"['Tommy Lee Jones', 'Anne Heche', 'Gaby Hoffmann']",1997-04-25,5.2,0,18.31532023940565,0.0,-1.0
377,90000000,15.350451,290,6.271936339522531,26,1997,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,The Devil's Own,"['Crime', 'Thriller', 'Drama']",Alan J. Pakula,['Unknown'],1997-03-12,5.9,140807547,18.31532023940565,18.762904608205908,0.5645283
378,100000000,15.625949,264,6.109722222222222,1132,2002,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,K-19: The Widowmaker,"['Drama', 'History', 'Thriller']",Kathryn Bigelow,"['Harrison Ford', 'Liam Neeson', 'Peter Sarsgaard']",2002-07-19,6.1,35168966,18.420680753952364,17.375674632395267,-0.64831034
380,88000000,24.100863,616,6.318783068783069,1796,2005,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,Cinderella Man,"['Romance', 'Drama', 'History']",Ron Howard,"['Russell Crowe', 'Renée Zellweger', 'Paul Giamatti']",2005-06-02,7.3,108539911,18.292847383806116,18.502628515838193,0.23340807954545453
381,90000000,3.593349,50,6.271936339522531,72,2010,11,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,The Nutcracker: The Untold Story,"['Fantasy', 'Action', 'Family']",Andrei Konchalovsky,['Unknown'],2010-11-24,5.4,16178959,18.31532023940565,16.59922219064373,-0.8202337888888889
382,87000000,14.824166,216,6.538888888888889,666,2003,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Seabiscuit,"['Drama', 'History']",Gary Ross,"['Jeff Bridges', 'David McCullough', 'Chris Cooper']",2003-07-22,6.7,148336445,18.28141868811311,18.8149935355119,0.7050166091954023
384,90000000,57.739713,3218,6.974999999999999,1770,2000,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Cast Away,"['Adventure', 'Drama']",Robert Zemeckis,"['Tom Hanks', 'Helen Hunt', 'Chris Noth']",2000-12-22,7.5,429632142,18.31532023940565,19.878439919123498,3.773690466666667
385,100000000,37.272385,1410,5.831837606837607,686,2006,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Happy Feet,"['Animation', 'Comedy']",George Miller,"['Elijah Wood', 'Robin Williams', 'Brittany Murphy']",2006-11-16,5.9,384335608,18.420680753952364,19.76702671062315,2.84335608
387,85000000,36.38795,840,6.271936339522531,2161,1997,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Air Force One,"['Action', 'Thriller']",Wolfgang Petersen,['Unknown'],1997-07-25,6.2,315156409,18.258161826219297,19.56857961323741,2.7077224588235294
388,85000000,60.929352,3783,6.42962962962963,1964,2001,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Ocean's Eleven,"['Thriller', 'Crime']",Steven Soderbergh,"['George Clooney', 'Brad Pitt', 'Matt Damon']",2001-12-07,7.2,450717150,18.258161826219297,19.926350541074843,4.302554705882353
389,75000000,36.605246,924,6.271936339522531,1586,2011,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,The Three Musketeers,"['Adventure', 'Action', 'Thriller']",Paul W.S. Anderson,['Unknown'],2011-08-31,5.6,132274484,18.132998684833918,18.700389753342996,0.7636597866666667
390,85000000,56.257411,2566,5.967619047619048,676,2012,9,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Hotel Transylvania,"['Animation', 'Comedy', 'Family', 'Fantasy']",Genndy Tartakovsky,"['Adam Sandler', 'Steve Buscemi', 'David Spade']",2012-09-20,6.8,358375603,18.258161826219297,19.69709216755181,3.2161835647058825
391,85000000,29.21998,1449,6.214814814814815,1161,2007,11,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,Enchanted,"['Comedy', 'Family', 'Fantasy', 'Romance']",Kevin Lima,"['Amy Adams', 'Patrick Dempsey', 'James Marsden']",2007-11-20,6.6,340487652,18.258161826219297,19.64588942151606,3.0057370823529412
392,85000000,34.773106,1345,6.314880952380953,406,2012,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Safe House,"['Action', 'Thriller']",Daniel Espinosa,"['Denzel Washington', 'Ryan Reynolds', 'Vera Farmiga']",2012-02-09,6.3,208076205,18.258161826219297,19.15341494556666,1.4479553529411764
393,85000000,9.895061,313,5.453333333333333,1161,2000,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,102 Dalmatians,"['Comedy', 'Family']",Kevin Lima,"['Glenn Close', 'Ioan Gruffudd', 'Alice Evans']",2000-10-07,5.1,183611771,18.258161826219297,19.028334151742275,1.1601384823529413
394,75000000,36.743324,932,6.271936339522531,227,2011,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tower Heist,"['Action', 'Comedy']",Brett Ratner,['Unknown'],2011-11-02,5.8,152930623,18.132998684833918,18.845494938614156,1.0390749733333333
395,85000000,44.967453,1225,6.271936339522531,1485,2006,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,The Holiday,"['Comedy', 'Romance']",Nancy Meyers,['Unknown'],2006-12-08,6.7,194168700,18.258161826219297,19.084237931934354,1.2843376470588235
396,90000000,41.207568,1240,6.271936339522531,2081,1998,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Enemy of the State,"['Action', 'Drama', 'Thriller']",Tony Scott,['Unknown'],1998-11-20,6.7,250649836,18.31532023940565,19.339567451364378,1.7849981777777777
397,85000000,16.479851,360,6.1642087542087545,1485,2009,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,It's Complicated,"['Comedy', 'Romance']",Nancy Meyers,"['Meryl Streep', 'Alec Baldwin', 'Steve Martin']",2009-12-23,6.2,219103655,18.258161826219297,19.205055490871025,1.5776900588235294
398,85000000,42.069993,1999,6.271936339522531,1964,2007,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Ocean's Thirteen,"['Crime', 'Thriller']",Steven Soderbergh,['Unknown'],2007-06-07,6.5,311312624,18.258161826219297,19.556308190323495,2.6625014588235296
399,85000000,26.61951,656,6.271936339522531,926,2006,9,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Open Season,"['Adventure', 'Animation', 'Family']",Jill Culton,['Unknown'],2006-09-29,6.1,197309027,18.258161826219297,19.100281727675338,1.3212826705882352
401,68000000,41.273567,999,6.401666666666667,881,2001,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Enemy at the Gates,['War'],Jean-Jacques Annaud,"['Jude Law', 'Rachel Weisz', 'Ed Harris']",2001-03-13,7.2,96976270,18.035018277846262,18.389976877675156,0.4261216176470588
404,85000000,16.595874,652,6.271936339522531,1733,2005,12,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,Memoirs of a Geisha,"['Drama', 'History', 'Romance']",Rob Marshall,['Unknown'],2005-12-06,7.3,162242962,18.258161826219297,18.904605541267387,0.9087407294117648
405,85000000,8.282876,1705,6.271936339522531,1110,2006,6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,The Fast and the Furious: Tokyo Drift,"['Action', 'Crime', 'Drama', 'Thriller']",Justin Lin,['Unknown'],2006-06-03,6.1,158468292,18.258161826219297,18.88106508710607,0.8643328470588235
406,0,19.83683,333,6.672222222222222,145,2011,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Arthur Christmas,"['Drama', 'Animation', 'Family', 'Comedy']",Barry Cook,"['James McAvoy', 'Hugh Laurie', 'Bill Nighy']",2011-02-22,6.7,0,0.0,0.0,
407,90000000,36.069611,1147,6.271936339522531,1325,1998,11,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,Meet Joe Black,"['Fantasy', 'Drama', 'Mystery']",Martin Brest,['Unknown'],1998-11-12,6.9,142940100,18.31532023940565,18.777936226346036,0.5882233333333333
409,0,5.159407,85,6.271936339522531,198,1979,12,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,All That Jazz,"['Drama', 'Music']",Bob Fosse,['Unknown'],1979-12-20,7.3,37823676,0.0,17.448445840159838,
410,85000000,48.126297,1114,5.800000000000001,1995,2012,3,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,Mirror Mirror,"['Adventure', 'Fantasy', 'Drama', 'Comedy', 'Science Fiction', 'Family']",Tarsem Singh,"['Julia Roberts', 'Lily Collins', 'Armie Hammer']",2012-03-15,5.5,183018522,18.258161826219297,19.025097924262674,1.1531590823529412
413,84000000,17.783361,332,6.271936339522531,1625,2000,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Nutty Professor II: The Klumps,"['Fantasy', 'Comedy', 'Romance', 'Science Fiction']",Peter Segal,['Unknown'],2000-07-27,4.7,123307945,18.24632736871235,18.630195410502562,0.4679517261904762
417,8000000,13.661289,226,6.271936339522531,679,1982,11,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Creepshow,"['Horror', 'Comedy', 'Fantasy']",George A. Romero,['Unknown'],1982-11-12,6.7,21028755,15.894952224644102,16.86140139233913,1.628594375
418,85000000,11.77398,119,6.271936339522531,216,2010,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Cats & Dogs 2 : The Revenge of Kitty Galore,"['Comedy', 'Family']",Brad Peyton,['Unknown'],2010-07-30,4.9,112483764,18.258161826219297,18.538319458083787,0.3233384
419,85000000,21.218,1799,5.956111111111112,544,2008,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Jumper,"['Adventure', 'Fantasy', 'Science Fiction']",Doug Liman,"['Hayden Christensen', 'Jamie Bell', 'Samuel L. Jackson']",2008-02-10,5.9,222231186,18.258161826219297,19.21922878085644,1.6144845411764706
420,85000000,58.57976,1527,5.88111111111111,730,2008,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Hellboy II: The Golden Army,"['Adventure', 'Fantasy', 'Science Fiction']",Guillermo del Toro,"['Ron Perlman', 'Selma Blair', 'Jeffrey Tambor']",2008-07-11,6.5,160388063,18.258161826219297,18.893106836662746,0.8869183882352941
421,65000000,51.970905,2023,6.587337662337663,456,2007,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,Zodiac,"['Crime', 'Drama', 'Mystery', 'Thriller']",David Fincher,"['Jake Gyllenhaal', 'Robert Downey Jr.', 'Mark Ruffalo']",2007-03-02,7.3,84785914,17.989897843244528,18.255639990268435,0.3043986769230769
425,80000000,75.290998,2631,6.271936339522531,232,1996,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Mission: Impossible,"['Adventure', 'Action', 'Thriller']",Brian De Palma,['Unknown'],1996-05-22,6.7,457696359,18.197537205138154,19.94171655278473,4.7212044875
427,80000000,58.040149,3739,6.0684523809523805,2042,2011,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Hangover Part II,['Comedy'],Todd Phillips,"['Bradley Cooper', 'Ed Helms', 'Zach Galifianakis']",2011-05-25,6.2,254455986,18.197537205138154,19.354638439902896,2.180699825
428,80000000,59.113174,1673,6.271936339522531,2021,1992,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Batman Returns,"['Action', 'Fantasy']",Tim Burton,['Unknown'],1992-06-19,6.6,280000000,18.197537205138154,19.450300164704952,2.5
429,80000000,36.32705,1074,6.271936339522531,1123,2006,4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Over the Hedge,"['Comedy', 'Animation', 'Family']",Karey Kirkpatrick,['Unknown'],2006-04-22,6.3,343397247,18.197537205138154,19.65439849241767,3.2924655875
430,80000000,55.659988,1314,6.271936339522531,313,2002,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Lilo & Stitch,"['Animation', 'Family']",Chris Sanders,['Unknown'],2002-06-21,7.1,145771527,18.197537205138154,18.79755107726184,0.8221440875
431,85000000,14.132583,288,6.271936339522531,670,2006,12,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Charlotte's Web,"['Comedy', 'Family', 'Fantasy']",Gary Winick,['Unknown'],2006-12-15,5.8,144000000,18.258161826219297,18.78532386448472,0.6941176470588235
432,75000000,34.070054,855,6.271936339522531,1460,1998,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Deep Impact,"['Action', 'Drama', 'Romance']",Mimi Leder,['Unknown'],1998-05-08,5.9,140464664,18.132998684833918,18.760466520446066,0.8728621866666667
433,84000000,44.34333,1526,6.271936339522531,500,2013,7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,RED 2,"['Action', 'Comedy', 'Crime', 'Thriller']",Dean Parisot,['Unknown'],2013-07-18,6.4,0,18.24632736871235,0.0,-1.0
434,82000000,26.065735,785,5.672380952380952,1625,2005,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,The Longest Yard,"['Comedy', 'Drama']",Peter Segal,"['Adam Sandler', 'Chris Rock', 'Burt Reynolds']",2005-05-19,6.2,190320568,18.22222981742365,19.064220413656063,1.3209825365853658
435,75000000,23.473004,484,5.6000000000000005,1452,2011,12,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,Alvin and the Chipmunks: Chipwrecked,"['Comedy', 'Fantasy', 'Family', 'Music', 'Animation']",Mike Mitchell,"['Jason Lee', 'David Cross', 'Jenny Slate']",2011-12-14,5.4,342695435,18.132998684833918,19.65235266898551,3.569272466666667
436,80000000,45.589568,1155,6.271936339522531,511,2013,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grown Ups 2,['Comedy'],Dennis Dugan,['Unknown'],2013-07-11,5.8,246984278,18.197537205138154,19.324835244793366,2.087303475
437,80000000,23.496054,1051,6.244973544973544,1625,2008,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Get Smart,"['Action', 'Comedy', 'Thriller']",Peter Segal,"['Steve Carell', 'Anne Hathaway', 'Dwayne Johnson']",2008-06-19,6.0,230685453,18.197537205138154,19.256565669574005,1.8835681625
438,80000000,16.939441,410,6.255740740740741,1485,2003,12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Something's Gotta Give,"['Drama', 'Comedy', 'Romance']",Nancy Meyers,"['Jack Nicholson', 'Diane Keaton', 'Keanu Reeves']",2003-12-12,6.3,266728738,18.197537205138154,19.401742741127066,2.334109225
439,80000000,81.914696,6336,6.4944444444444445,1331,2010,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,Shutter Island,"['Drama', 'Thriller', 'Mystery']",Martin Scorsese,"['Leonardo DiCaprio', 'Mark Ruffalo', 'Ben Kingsley']",2010-02-18,7.8,294804195,18.197537205138154,19.501821951556725,2.6850524375
440,80000000,19.500893,331,5.923015873015873,1875,2008,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Four Christmases,"['Comedy', 'Romance', 'Drama']",Seth Gordon,"['Vince Vaughn', 'Reese Witherspoon', 'Robert Duvall']",2008-11-26,5.3,163733697,18.197537205138154,18.913751873325314,1.0466712125
441,75000000,29.558157,1333,5.904985754985755,316,2005,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Robots,"['Animation', 'Comedy', 'Family', 'Science Fiction']",Chris Wedge,"['Robin Williams', 'Ewan McGregor', 'Halle Berry']",2005-03-10,6.0,260696994,18.132998684833918,19.378869352178302,2.47595992
442,80000000,46.075037,1583,6.148412698412698,1030,1997,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Face/Off,"['Action', 'Crime', 'Science Fiction', 'Thriller']",John Woo,"['John Travolta', 'Nicolas Cage', 'Joan Allen']",1997-06-27,6.8,245676146,18.197537205138154,19.31952475097158,2.070951825
443,80000000,23.531721,901,5.975555555555555,12,2008,12,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,Bedtime Stories,"['Fantasy', 'Comedy', 'Family', 'Romance']",Adam Shankman,"['Adam Sandler', 'Keri Russell', 'Guy Pearce']",2008-12-24,5.9,212874442,18.197537205138154,19.17621308038469,1.660930525
